genome	N-ARSC	C-ARSC
D197_116_renamed_AA	2.99531079740931	0.327354498002294
D197_2_renamed_AA	3.0814724624066	0.329208823402164
Deep-sea_sediment_DRR121209_Bin1_renamed_AA	2.95232322594147	0.351944939130572
Deep-sea_sediment_DRR121219_Bin1_renamed_AA	2.95827603818803	0.353164299261027
Deep-sea_sediment_ERR1730303_Bin1_renamed_AA	2.95726986090878	0.352956436710503
HMT_AABW_renamed_AA	3.01640122863227	0.320709616889411
HMT_AABW_S15_53_renamed_AA	3.01462998301086	0.322161565899337
HMT_AAIW_renamed_AA	3.01245968657733	0.321807858278446
HMT_ATL_renamed_AA	2.99638002196221	0.320356696580711
HMT_NADW_renamed_AA	3.01138931786508	0.324428415382877
HMT_NADW_S23_34_renamed_AA	3.01712244443315	0.321988720526219
HMT_PAC_renamed_AA	3.01003760191997	0.321687943151526
Mariana_Trench_sediment_5533m_4-6cm_Bin1_renamed_AA	2.95827603818803	0.353164299261027
Thaumarchaeota_archaeon_EAC691_renamed_AA	3.00281813389926	0.316402710645174
Thaumarchaeota_archaeon_RBG_16_49_8_renamed_AA	2.81379490293089	0.323875639140754
Thaumarchaeota_archaeon_SAT139_renamed_AA	3.05353416047357	0.325811025981402
Thaumarchaeota_archaeon_SP3992_renamed_AA	3.01343692087096	0.319343304310185
Thaumarchaeota_archaeon_strain_BS1_renamed_AA	1.68862917425011	0.184752876765733
Thaumarchaeota_archaeon_strain_BS3_renamed_AA	3.03402396933305	0.33594640264948
Thaumarchaeota_archaeon_strain_BS4_renamed_AA	3.02738120959298	0.332109004082944
Thaumarchaeota_archaeon_strain_DS1_renamed_AA	3.0732796049698	0.31452214769511
Thaumarchaeota_archaeon_UBA141_renamed_AA	2.91505870240947	0.34641944999901
Thaumarchaeota_archaeon_UBA160_renamed_AA	3.10369503147885	0.305601682057653
Thaumarchaeota_archaeon_UBA164_renamed_AA	2.98252833430321	0.322975032560202
Thaumarchaeota_archaeon_UBA183_renamed_AA	2.84243362723388	0.342584799431266
Thaumarchaeota_archaeon_UBA57_renamed_AA	2.97543883240067	0.315214580510359
Thaumarchaeota_ASW2_bin45_renamed_AA	3.02764356792791	0.320238768283081
Thaumarchaeota_ASW8_renamed_AA	3.00880399411581	0.319691653240443
Thaumarchaeota_bin_Fn1_renamed_AA	2.90628667225482	0.343576485320999
Thaumarchaeota_YP1_bin3_renamed_AA	2.86670847518366	0.349070507077585
Unclassified_Thaumarchaeota_DRTY_7_bin_36_renamed_AA	3.12777752654162	0.325000864547948
XS84_Bin1_renamed_AA	2.96551900313537	0.354630182367715
XS84_Bin2_renamed_AA	2.95817799096703	0.353728070815682
XS84_Bin3_renamed_AA	2.97542050188471	0.339179809515284
